Year,Month,Revenue
2017,1,11141.566
2017,2,11483.52
2017,3,89026.192
2017,4,7486.732
2017,5,17719.978
2017,6,159129.659
2017,7,16736.302
2017,8,25432.066
2017,9,145620.785
2017,10,24954.743
2017,11,42440.281
2017,12,389795.301
2018,1,10851.367
2018,2,15156.59
2018,3,92459.405
2018,4,18964.489
2018,5,27080.474
2018,6,156189.554
2018,7,22733.732
2018,8,19094.521
2018,9,119631.548
2018,10,21636.455
2018,11,64590.779
2018,12,303152.06
2019,1,12594.348
2019,2,24780.076
2019,3,116146.579
2019,4,32970.437
2019,5,48772.3
2019,6,285241.258
2019,7,27898.503
2019,8,51343.677
2019,9,244466.379
2019,10,34864.443
2019,11,73066.245
2019,12,724737.205
2020,1,16301.221
2020,2,19769.781
2020,3,119442.079
2020,4,18721.319
2020,5,30299.276
2020,6,226961.657
2020,7,25759.943
2020,8,35032.793
2020,9,147118.567
2020,10,43656.223
2020,11,54935.815
2020,12,519504.737
2021,1,16507.335
2021,2,55265.293
2021,3,132267.597
2021,4,20550.787
2021,5,45757.982
2021,6,183715.237
2021,7,74225.599
