Date,Revenue,Unemployment,PPI,SoftwareSales,PCE,GDP,Covid,Cloud-OnPrem
1/1/2017,11141.566,4.7,91.6,16993,13015.1,6481,0,0.26769904
2/1/2017,11483.52,4.6,95.4,15656,13034.7,6481,0,0.356420054
3/1/2017,89026.192,4.4,97.8,21011,13089.6,6481,0,0.216901036
4/1/2017,7486.732,4.5,94.1,18405,13127.7,6572.67,0,0.535412343
5/1/2017,17719.978,4.4,95.1,19293,13128.7,6572.67,0,0.49606632
6/1/2017,159129.659,4.3,92.6,23244,13176.8,6572.67,0,0.21794653
7/1/2017,16736.302,4.3,93.6,20964,13198.3,6607.33,0,0.300034178
8/1/2017,25432.066,4.4,91.6,21338,13241,6607.33,0,0.330967094
9/1/2017,145620.785,4.2,91.2,22530,13365.1,6607.33,0,0.189073557
10/1/2017,24954.743,4.1,91.3,20789,13394.8,6779,0,0.360700461
11/1/2017,42440.281,4.2,90.9,21029,13495.7,6779,0,0.247426128
12/1/2017,389795.301,4.1,89.7,22916,13601.8,6779,0,0.163757425
1/1/2018,10851.367,4,88.5,19444,13620.1,6791,0,0.26138791
2/1/2018,15156.59,4.1,92.4,17263,13657.2,6791,0,1.007500682
3/1/2018,92459.405,4,93.6,22131,13725,6791,0,0.344588701
4/1/2018,18964.489,4,94.4,19979,13809.3,6918.67,0,1.078042829
5/1/2018,27080.474,3.8,93.9,22546,13872.1,6918.67,0,0.388242489
6/1/2018,156189.554,4,93.9,24870,13912.9,6918.67,0,0.46191352
7/1/2018,22733.732,3.8,93.1,21864,13962.6,6918.67,0,0.713987628
8/1/2018,19094.521,3.8,93.1,22534,14014.5,6918.67,0,0.745645923
9/1/2018,119631.548,3.7,94.1,22598,14030.7,6918.67,0,0.417841268
10/1/2018,21636.455,3.8,96.8,23884,14119.6,7213.67,0,0.881288546
11/1/2018,64590.779,3.8,92.2,22646,14187.8,7213.67,0,0.390881684
12/1/2018,303152.06,3.9,92.9,24799,14050.6,7213.67,0,0.313528927
1/1/2019,12594.348,4,93.4,20559,14104.4,6986,0,0.363288776
2/1/2019,24780.076,3.8,98.2,18075,14117.9,6986,0,0.350078836
3/1/2019,116184.047,3.8,99.6,22657,14244.4,6986,0,0.44498967
4/1/2019,33054.437,3.7,96.6,20647,14329.3,6574.67,0,0.471805806
5/1/2019,48772.3,3.7,97.2,21877,14372.2,6574.67,0,0.687730291
6/1/2019,285241.258,3.6,96.2,24580,14425.7,6574.67,0,0.239689544
7/1/2019,27898.503,3.6,95.2,23426,14487.4,7002.67,0,1.032691143
8/1/2019,51342.508,3.7,95.4,21515,14536.4,7002.67,0,0.459605749
9/1/2019,244466.379,3.5,94,23979,14564.7,7002.67,0,0.324274693
10/1/2019,34864.443,3.6,95.7,24202,14607.9,6912.67,0,0.512577523
11/1/2019,73088.785,3.6,92.7,21328,14667.6,6912.67,0,0.473352168
12/1/2019,724700.889,3.6,93.3,24440,14686.3,6912.67,0,0.287169669
1/1/2020,16301.221,3.5,93.6,20990,14769.9,7114.67,0,0.432361656
2/1/2020,19678.761,3.5,94.3,18056,14785.1,7114.67,0,0.752879471
3/1/2020,119442.079,4.4,97.3,24197,13762.2,7114.67,0,0.295495898
4/1/2020,18721.319,14.8,99.1,21337,12021.8,7220,1,0.583800939
5/1/2020,30280.716,13.3,101.6,18833,13058.1,7220,1,0.636968715
6/1/2020,226958.057,11.1,101.3,24880,13889.3,7220,1,0.273631366
7/1/2020,25759.943,10.2,100,23847,14129.2,7079.67,1,0.54939663
8/1/2020,35032.793,8.4,99.1,22632,14270.5,7079.67,1,0.434081046
9/1/2020,147118.567,7.8,99.5,25029,14481.7,7079.67,1,0.470216797
10/1/2020,43706.168,6.9,98.8,24942,14546,7270.33,1,0.350292413
11/1/2020,54935.815,6.7,97,23015,14467.3,7270.33,1,0.23816347
12/1/2020,519428.806,6.7,97.6,28530,14389.5,7270.33,1,0.291055725
1/1/2021,16501.026,6.3,97.1,21862,14857.9,7812.33,1,1.166447712
2/1/2021,55269.823,6.2,97.3,20129,14699.6,7812.33,1,0.731456703
3/1/2021,132237.61,6,96.7,26123,15458.9,7812.33,1,0.459600027
4/1/2021,20767.113,6.1,101,24150,15630,7408.33,1,0.984101439
5/1/2021,45859.339,5.8,95.8,23228,15616.2,7408.33,1,0.826293399
6/1/2021,183014.713,5.9,96.1,28438,15771.6,7408.33,1,0.754711798
